Area	Categoria	Tema	Subtema	Usado	Conocimiento	Interes
Web y JavaScript				Preguntar		Preguntar
	Javascript en general				Preguntar	
		Vanilla JS			Preguntar	
		ES6+		Preguntar	Preguntar	Preguntar
		Typescript		Preguntar	Preguntar	Preguntar
		Decorators		Preguntar		
		async/await		Preguntar		
		long-polling		Preguntar		
	React			Preguntar	Preguntar	Preguntar
		Functional components		Preguntar		
		Class components		Preguntar		
			Lifecycle methods		Preguntar	
		react-router		Preguntar		
		Hooks		Preguntar	Preguntar	
			custom hooks		Preguntar	
		react-redux		Preguntar		
		Context		Preguntar		
		Concurrency mode		Preguntar		
			Suspense	Preguntar		
			React Lazy	Preguntar		
		SSR		Preguntar		
			server-side vs client-side		Preguntar	
			dynamic loading		Preguntar	
		Prefetching		Preguntar		
		Props checking				
			PropTypes	Preguntar		
			Typescript	Preguntar		
			Flow	Preguntar		
		Memoization		Preguntar		
						
	Angular			Preguntar	Preguntar	Preguntar
		Modularización		Preguntar		
		Routing		Preguntar		
			Lazy routing	Preguntar		
			Navigation		Preguntar	
		Services		Preguntar	Preguntar	
		Components		Preguntar		
			Data bindings		Preguntar	
		Directives		Preguntar	Preguntar	
		Dependency Injection		Preguntar	Preguntar	
			Factory	Preguntar		
		Pipes		Preguntar		
		Interceptors		Preguntar	Preguntar	
		Testing an Angular module		Preguntar	Preguntar	
		Localization		Preguntar		
		Optimización		Preguntar	Preguntar	
			Tree shaking	Preguntar		
			Change detection	Preguntar		
		NgRx		Preguntar	Preguntar	
						
	Estilos					
		CSS			Preguntar	
		Less		Preguntar	Preguntar	
		Sass		Preguntar	Preguntar	
		CSS-in-JS		Preguntar	Preguntar	
	Bibliotecas de componentes			Preguntar		
		Bootstrap		Preguntar	Preguntar	
		Material UI		Preguntar	Preguntar	
		Foundation		Preguntar	Preguntar	
	Manejo de estado			Preguntar		
		Redux		Preguntar	Preguntar	
		Mobx		Preguntar	Preguntar	
	Side-effects			Preguntar		
		rxJS		Preguntar	Preguntar	
		redux-thunk		Preguntar	Preguntar	
		redux-saga		Preguntar	Preguntar	
		Apollo/gql		Preguntar	Preguntar	
	Animaciones			Preguntar		
		Lootie		Preguntar		
		gsap		Preguntar		
		react-spring				
	Lazy-loading			Preguntar		
		dynamic imports		Preguntar		
		redux-dynamic-modules		Preguntar		
	Async loading			Preguntar		
	SEO			Preguntar	Preguntar	
	Accesibilidad			Preguntar	Preguntar	Preguntar
	Internacionalización			Preguntar	Preguntar	
	Tratamiento de imágenes			Preguntar		
		Responsive		Preguntar		
	Visualización de datos			Preguntar		
		D3		Preguntar		
		ChartJS		Preguntar		
		High Charts		Preguntar		
		Raphael				
						
						
	Testing					
		Jest		Preguntar	Preguntar	
		Cypress		Preguntar	Preguntar	
		Protractor		Preguntar	Preguntar	
		Karma		Preguntar	Preguntar	
	Linters					
		ESLint			Preguntar	
		Prettier		Preguntar		
	Bundlers					
		Webpack		Preguntar	Preguntar	
		Rollup		Preguntar	Preguntar	
		Gulp		Preguntar	Preguntar	
		Grunt		Preguntar	Preguntar	
		Bundle analysis		Preguntar		
						
						
						
	Backend con JS			Preguntar		Preguntar
		Node		Preguntar	Preguntar	Preguntar
		Express		Preguntar	Preguntar	Preguntar
			Middlewares	Preguntar		
		GraphQL		Preguntar	Preguntar	Preguntar
		NextJS		Preguntar	Preguntar	Preguntar
.net				Preguntar		Preguntar
	C#			Preguntar	Preguntar	
	VB.net			Preguntar	Preguntar	
	Auto mapper			Preguntar		
	Linq			Preguntar	Preguntar	
	Generics			Preguntar		
	Async programming			Preguntar	Preguntar	
	Web API			Preguntar	Preguntar	
		Swagger		Preguntar		
	MVC			Preguntar	Preguntar	
		Razor		Preguntar		
		Blazor		Preguntar		
	.net Framework			Preguntar	Preguntar	
		Dependency Inject		Preguntar		
			Autofac	Preguntar		
			Ninject	Preguntar		
		ORM				
			Entity Framework	Preguntar		
			Dapper	Preguntar		
		Unit testing		Preguntar		
			XUnit	Preguntar		
			MsTest	Preguntar		
			NUnit	Preguntar		
		WCF		Preguntar	Preguntar	
	.net Core			Preguntar	Preguntar	Preguntar
		Unit testing (nativo)		Preguntar		
		Dependency Inject (nativo)		Preguntar		
			Lifecycle DI	Preguntar		
		ORM				
			EF Core	Preguntar		
			Dapper Core	Preguntar		
		Middlewares de excepciones		Preguntar		
		Filters		Preguntar		
		Application Insights		Preguntar		
Cross-tech						
	Authn/Authz			Preguntar		
		Identity server		Preguntar		
		JSON web tokens		Preguntar		
		Auth0		Preguntar		
	Patrones de diseño					
		Unit of Work		Preguntar		
		Repository		Preguntar		
		Dependency Injection		Preguntar		
						
						
						
						
Python				Preguntar		Preguntar
	Generadores			Preguntar		
	Iteradores			Preguntar		
	Async I/O			Preguntar		
	Debuggers			Preguntar		
